ExecutionId,CycleName,FolderName,"Issue Key","Test Summary",Project,Component,Version,Priority,"Executed By","Executed On",ExecutionStatus,ExecutionDefects,CreationDate,"Assigned To","Custom Fields","Work Flow Status","Total Execution Time","Total Logged Time",StepId,OrderId,Step,"Test Data","Expected Result","Step Result",Comments,"Step Custom Fields"
1929c280-432c-4f6f-8995-f98810b387af,"Sanity Testing",,US-9,"Testing Sign Up feature","Up Skills",,"Version 1.0",Medium,"Venugopal Desai","02-15-2022 20:20:47",PASS,"| US-11","02-15-2022 13:37:16","Venugopal Desai",,REOPENED,,"3w 2h",b9ae7097-d04c-4b33-8d3f-6f6d6f9b154e,1,"Open the browser","Chrome Browser","Chrome browser should open",PASS,,
1929c280-432c-4f6f-8995-f98810b387af,"Sanity Testing",,US-9,"Testing Sign Up feature","Up Skills",,"Version 1.0",Medium,"Venugopal Desai","02-15-2022 20:20:47",PASS,"| US-11","02-15-2022 13:37:16","Venugopal Desai",,REOPENED,,"3w 2h",c4029ac0-044c-4e44-8621-a308f58f1fb3,2,"Enter the URL",http://elearningm1.upskills.in/,"Application should be open with home page",PASS,,
1929c280-432c-4f6f-8995-f98810b387af,"Sanity Testing",,US-9,"Testing Sign Up feature","Up Skills",,"Version 1.0",Medium,"Venugopal Desai","02-15-2022 20:20:47",PASS,"| US-11","02-15-2022 13:37:16","Venugopal Desai",,REOPENED,,"3w 2h",27fcc45a-692b-4a66-9c35-16cd6bb180a9,3,"First name test field",,"Test  field should be mandatory field",PASS,,
1929c280-432c-4f6f-8995-f98810b387af,"Sanity Testing",,US-9,"Testing Sign Up feature","Up Skills",,"Version 1.0",Medium,"Venugopal Desai","02-15-2022 20:20:47",PASS,"| US-11","02-15-2022 13:37:16","Venugopal Desai",,REOPENED,,"3w 2h",7d5e0df8-cb93-404c-9e8b-61d903bc087a,4,"Pass test field",,"Pass test field should be mandatory",PASS,,
1929c280-432c-4f6f-8995-f98810b387af,"Sanity Testing",,US-9,"Testing Sign Up feature","Up Skills",,"Version 1.0",Medium,"Venugopal Desai","02-15-2022 20:20:47",PASS,"| US-11","02-15-2022 13:37:16","Venugopal Desai",,REOPENED,,"3w 2h",10b8266f-773f-4e44-86df-64c4f18db59a,5,"Enter only alphabets in Pass text field",xxxxx,"It should show password is verypoor from 1 to 5 alphabets",FAIL,,
1929c280-432c-4f6f-8995-f98810b387af,"Sanity Testing",,US-9,"Testing Sign Up feature","Up Skills",,"Version 1.0",Medium,"Venugopal Desai","02-15-2022 20:20:47",PASS,"| US-11","02-15-2022 13:37:16","Venugopal Desai",,REOPENED,,"3w 2h",eee61d93-877e-4025-8063-fb4552bc5988,6,"Enter only alphabets in Pass text field",xxxxxx,"It should show password is Weak if u enter 6 alphabets",PASS,,
1929c280-432c-4f6f-8995-f98810b387af,"Sanity Testing",,US-9,"Testing Sign Up feature","Up Skills",,"Version 1.0",Medium,"Venugopal Desai","02-15-2022 20:20:47",PASS,"| US-11","02-15-2022 13:37:16","Venugopal Desai",,REOPENED,,"3w 2h",b1f499a7-fe68-4253-a4d2-25c8617c9f85,7,"last name text field",,"Test  field should be mandatory field",PASS,,
